sentences,labels
"['帮', '我', '导航', '到', '邬', '桥', '农贸市场']","['X', 'X', 'IO', 'X', 'IG', 'IG', 'IG']"
"['到', '怀化市', '靖州', '县']","['X', 'IG', 'IG', 'IG']"
"['丽江市', '气象局']","['IA', 'IA']"
"['闭', '导航']","['IO', 'IN']"
"['(', 'side', ')', '(', 'dialect', ')']","['X', 'X', 'X', 'X', 'X', 'X']"
"['靖', '宇', '山货', '市场']","['IA', 'IA', 'IA', 'IA']"
"['(', 'unknown', ')', '定']","['X', 'X', 'X', 'X']"
['导航'],['IO']
"['谢谢', '你']","['X', 'X']"
"['(', 'noise', ')']","['X', 'X', 'X']"
"['到', '华联', '超市']","['X', 'IG', 'IG']"
"['去', '曼', '昔', '坝', '老', '漆', '鱼庄']","['X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['到', '淮', '扬', '小', '李庄']","['X', 'IG', 'IG', 'IG', 'IG']"
"['打开', '导航']","['IO', 'IN']"
"['(', 'side', ')', ',', '青铜峡', '市', '韶', '岗', '镇', '同', '富村']","['X', 'X', 'X', 'X', 'IA', 'IA', 'IA', 'IA', 'IA', 'IA', 'IA']"
['回去'],['X']
"['到', '宣威', '市政府']","['X', 'IG', 'IG']"
"['我', '去', '海原', '县']","['X', 'X', 'IG', 'IG']"
"['(', 'unknown', ')', '去', '西', '和', '县']","['X', 'X', 'X', 'X', 'IG', 'IG', 'IG']"
"['去', '宁波', '火车站']","['X', 'IG', 'IG']"
"['不用', '了']","['X', 'X']"
"['到', '自贡', '恐龙', '博物馆']","['X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '湖南', '永', '通', '华', '悦', '汽车', '服务', '有限公司']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['到', '江苏', '连云港']","['X', 'IG', 'IG']"
"['我', '要', '去', '如', '家', '快捷', '酒店']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG']"
['第二个'],['IP']
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['火车站', '那里']","['IA', 'X']"
"['不', '去', '了']","['X', 'X', 'X']"
"['我', '要', '去', '金寨县', '县政府']","['X', 'X', 'X', 'IG', 'IG']"
['第二个'],['IP']
['日喀则市'],['IA']
"['我', '要', '到', '植物']","['X', 'X', 'X', 'IA']"
"['导航', '到', '二', '食堂']","['IO', 'X', 'IG', 'IG']"
"['导航', '到', '海', '津', '苑', '学校', '桂林', '洋', '校区']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['退出', '导航']","['IO', 'IN']"
"['二环', '西路']","['IA', 'IA']"
['回家'],['X']
"['导航', '回家']","['IO', 'X']"
['第三个'],['IP']
"['去', '五彩', '湾']","['X', 'IG', 'IG']"
"['导航', '吴江', '公园', '海尔', '橱柜']","['IO', 'IG', 'IG', 'IG', 'IG']"
"['去', '天津市', '宁河', '区']","['X', 'IG', 'IG', 'IG']"
"['导航', '吐鲁番']","['IO', 'IG']"
['火车站'],['IA']
"['(', 'unknown', ')', '导航']","['X', 'X', 'X', 'IO']"
"['南京', '(', 'unknown', ')']","['IA', 'X', 'X', 'X']"
"['我', '要', '去', '金', '纪元', '大厦', '(', 'robot', ')', '(', 'unknown', ')', '这', '幸福', '的', '可能', '我', '从此', '不再', '是', '一个']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['导航', '到', '(', 'unknown', ')', '村']","['IO', 'X', 'X', 'X', 'X', 'X']"
"['帮', '我', '导航', '到', '山西省', '阳泉', '市', '平定县', '石', '门口', '乡', '南坪', '村']","['X', 'X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['简阳', '市', '三', '(', 'unknown', ')', '镇']","['IA', 'IA', 'IA', 'X', 'X', 'X', 'IA']"
"['导航', '到', '黄', '德', '线']","['IO', 'X', 'IG', 'IG', 'IG']"
"['珠海', '体育馆']","['IA', 'IA']"
"['退出', '导航']","['IO', 'IN']"
"['豪', '生', '大酒店', '名城', '豪', '生', '大酒店']","['IA', 'IA', 'IA', 'IA', 'IA', 'IA', 'IA']"
"['导航', '到', '连', '池', '区政府']","['IO', 'X', 'IG', 'IG', 'IG']"
"['梅', '列', '人民法院']","['IA', 'IA', 'IA']"
"['四川', '财经', '职业学校']","['IA', 'IA', 'IA']"
"['(', 'unknown', ')', '消', '导航']","['X', 'X', 'X', 'X', 'IO']"
"['导航', '到', '五洲', '大酒店']","['IO', 'X', 'IG', 'IG']"
"['你', '好', '导航', '去', '玉溪市', '北', '城镇']","['X', 'X', 'IO', 'X', 'IG', 'IG', 'IG']"
['确定'],['X']
['导航'],['IO']
"['(', 'unknown', ')', '导航']","['X', 'X', 'X', 'IO']"
"['洗浴', '中心']","['IA', 'IA']"
"['(', 'side', ')', '来']","['X', 'X', 'X', 'X']"
['第一个'],['IP']
['湛江市'],['IA']
"['去', '烟台', '国际', '博览中心']","['X', 'IG', 'IG', 'IG']"
"['去', '菏泽', '银座']","['X', 'IG', 'IG']"
"['嗯', '我', '要', '去', '西安', '钟楼']","['X', 'X', 'X', 'X', 'IG', 'IG']"
"['e', '空间']","['IA', 'IA']"
"['下', '一', '页']","['IQ', 'IQ', 'IQ']"
['确定'],['X']
"['导航', '奉贤', '区', '振华', '路', '六百九十', '九弄']","['IO', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['导航', '中石化']","['IO', 'IG']"
"['哦', '龙', '盘', '家具']","['X', 'IA', 'IA', 'IA']"
"['导航', '到', '科', '华北', '路', '北宁', '三']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['(', 'side', ')']","['X', 'X', 'X']"
"['到', '郑州', '二七区', '侯', '寨', '乡', '肖', '潞', '河', '御苑', '生态园']","['X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['取消', '导航']","['IO', 'IN']"
"['我', '想', '去', '北京天安门']","['X', 'X', 'X', 'IG']"
"['取消', '导航']","['IO', 'IN']"
['文安县'],['IA']
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['(', 'unknown', ')', '去', '狮', '山路', '(', 'unknown', ')']","['X', 'X', 'X', 'X', 'IG', 'IG', 'X', 'X', 'X']"
"['我', '要', '去', '东营']","['X', 'X', 'X', 'IG']"
"['导航', '到', '大', '上海']","['IO', 'X', 'IG', 'IG']"
"['请', '帮', '我', '导航', '到', '贵', '龙', '大道']","['X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '小马', '百姓', '超市']","['IO', 'X', 'IG', 'IG', 'IG']"
"['取消', '导航']","['IO', 'IN']"
"['不是', '大同', '同煤', '集团']","['X', 'DA', 'DA', 'DA']"
"['明乐', '县', '(', 'unknown', ')', '明乐', '张家', '市', '名', '乐', '县']","['IA', 'IA', 'X', 'X', 'X', 'IA', 'IA', 'IA', 'IA', 'IA', 'IA']"
['第一个'],['IP']
"['请', '搜', '一', '首', '成都', '的', '成都', '音乐']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['请', '导航', '到', '渠县', '第三', '中学']","['X', 'IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '去', '天津', '富士', '达']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '去', '中山北路']","['IO', 'X', 'IG']"
"['我', '要', '去', '兴平']","['X', 'X', 'X', 'IG']"
"['你', '好', '小强', '第三个']","['X', 'X', 'X', 'IP']"
"['深圳', '李', '朗', '珠宝', '园']","['IA', 'IA', 'IA', 'IA', 'IA']"
"['(', 'unknown', ')', '闭', '导航']","['X', 'X', 'X', 'IO', 'IN']"
"['搞错', '了', '渭南市', '人民政府']","['X', 'X', 'IA', 'IA']"
"['到', '旅游', '西苑', '宾馆']","['X', 'IG', 'IG', 'IG']"
"['导航', '至', '江西省', '体育馆']","['IO', 'X', 'IG', 'IG']"
"['第一个', '第一个']","['IP', 'IP']"
"['(', 'side', ')', '唉', '随便', '你', '往', '那个', '方向', '走', '吧', '到了', '(', 'unknown', ')']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['我', '要', '去', '康南', '小学']","['X', 'X', 'X', 'IG', 'IG']"
"['我们', '现在', '在', '哪里']","['X', 'X', 'X', 'X']"
"['我', '要', '去', '双', '口', '镇']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
['第一个'],['IP']
"['去', '同', '信', '小区']","['X', 'IG', 'IG', 'IG']"
"['我', '到临', '泉', '大润发']","['X', 'X', 'IG', 'IG']"
"['导航', '到', '昌平', '阳', '坊', '大都', '涮', '肉']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
['返回'],['IO']
"['导航', '去', '昌隆', '镇']","['IO', 'X', 'IG', 'IG']"
"['云南', '丽江', '古城']","['IA', 'IA', 'IA']"
"['赶紧', '把', '这个', '导航', '关', '都', '关', '了', '闭嘴', '下去']","['X', 'X', 'X', 'IN', 'IO', 'X', 'IO', 'IO', 'X', 'X']"
"['导航', '到', '安徽', '中科', '光电']","['IO', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '云阳县', '县医院']","['X', 'X', 'X', 'IG', 'IG']"
"['华', '启', '金', '悦', '府']","['IA', 'IA', 'IA', 'IA', 'IA']"
"['导航', '到', '豪门', '新城']","['IO', 'X', 'IG', 'IG']"
"['去', '呼兰', '区']","['X', 'IG', 'IG']"
"['我', '要', '到', '前海']","['X', 'X', 'X', 'IG']"
"['导航', '到', '六', '味']","['IO', 'X', 'IG', 'IG']"
"['导航', '到', '中原', '家具厂']","['IO', 'X', 'IG', 'IG']"
"['华', '怡', '大酒店']","['IA', 'IA', 'IA']"
"['退出', '导航', '地图']","['IO', 'IN', 'IN']"
"['我', '要', '去', '金州区', '二十里铺']","['X', 'X', 'X', 'IG', 'IG']"
"['导航', '到', '郑州市', '第三', '人民医院']","['IO', 'X', 'IG', 'IG', 'IG']"
"['天', '启山', '风景区']","['IA', 'IA', 'IA']"
['第一个'],['IP']
['确定'],['X']
['嘉兴市'],['IA']
"['我', '要', '去', '曹县', '韩', '集', '韩', '集', '韩', '集', '嗯']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'X']"
"['到', '祥和', '领域']","['X', 'IG', 'IG']"
"['回', '昆明', '最近', '的', '高速公路']","['X', 'IG', 'IM', 'X', 'IM']"
"['(', 'unknown', ')', '导航', '一下', '长治市', '山西省长治', '市']","['X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'IG']"
"['北流', '大理', '二', '中']","['IA', 'IA', 'IA', 'IA']"
"['导航', '到', '吴', '中区', '人力资源', '大厦']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['我', '想', '去', '鸡', '东县', '客运站']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['去', '阳光', '新天地', '冠', '方', '台球', '俱乐部']","['X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['青岛市', '北', '凯德']","['IA', 'IA', 'IA']"
"['渭', '源']","['IA', 'IA']"
"['导航', '到', '官渡', '区', '八公里']","['IO', 'X', 'IG', 'IG', 'IG']"
"['黄', '梅镇', '派出所']","['IA', 'IA', 'IA']"
['第一个'],['IP']
"['导航', '到', '包头市', '第一', '附属', '医院']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
['第四个'],['IP']
"['(', 'side', ')', '问', '导航']","['X', 'X', 'X', 'X', 'X']"
"['(', 'side', ')', '(', 'unknown', ')', '，', '我', '退出', '导航', '(', 'side', ')', '(', 'dialect', ')']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'IO', 'IN', 'X', 'X', 'X', 'X', 'X', 'X']"
"['闭', '导航']","['IO', 'IN']"
"['我', '要', '到', '松滋市', '黄杰', '小学']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '最近', '的', '合家', '福', '超市']","['X', 'X', 'X', 'IK', 'X', 'II', 'II', 'II']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['导航', '龙湖', '香', '醍']","['IO', 'IG', 'IG', 'IG']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['我', '要', '去', '潘家园', '桥东']","['X', 'X', 'X', 'IG', 'IG']"
