sentences,labels
"['导航', '到', '伊春', '市政府']","['IO', 'X', 'IG', 'IG']"
"['(', 'side', ')', '(', 'dialect', ')']","['X', 'X', 'X', 'X', 'X', 'X']"
"['(', 'unknown', ')', '导航']","['X', 'X', 'X', 'IO']"
"['镇', '石楼', '村']","['IA', 'IA', 'IA']"
"['(', 'unknown', ')', '不是', '都', '不对']","['X', 'X', 'X', 'X', 'X', 'X']"
['一'],['IP']
"['导航', '到', '平度市', '大泽', '山']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '(', 'unknown', ')']","['IO', 'X', 'X', 'X', 'X']"
['消防队'],['IA']
"['我', '要', '去', '保利', '香槟']","['X', 'X', 'X', 'IG', 'IG']"
['奥特莱斯'],['IA']
"['玉溪市', '澄', '江', '县人民法院']","['IA', 'IA', 'IA', 'IA']"
"['我', '要', '去', '巴国', '城']","['X', 'X', 'X', 'IG', 'IG']"
"['去', '弄', '海', '园']","['X', 'IG', 'IG', 'IG']"
['第一个'],['IP']
"['导航', '到', '黄泥', '磅']","['IO', 'X', 'IG', 'IG']"
"['航', '柯桥']","['IA', 'IA']"
"['导航', '芳', '古', '路']","['IO', 'IG', 'IG', 'IG']"
"['唉', '开始', '导航']","['X', 'IO', 'IO']"
"['去', '天宫', '一号', 'ktv']","['X', 'IG', 'IG', 'IG']"
"['(', 'unknown', ')', '去', '潍坊市', '高新区', '人民政府']","['X', 'X', 'X', 'X', 'IG', 'IG', 'IG']"
"['帮', '我', '导', '一下', '农业银行']","['X', 'X', 'IO', 'X', 'IG']"
"['导航', '到', '万科', '西', '庐']","['IO', 'X', 'IG', 'IG', 'IG']"
"['(', 'side', ')']","['X', 'X', 'X']"
"['生态', '大道', '与', '长江路', '交叉口']","['IA', 'IA', 'IA', 'IA', 'IA']"
"['我', '要', '去', '凯旋', '银河', '线']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '城东', '交警大队']","['IO', 'X', 'IG', 'IG']"
"['我', '要', '去', '齐', '云', '馆']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['闭', '导航', '(', 'side', ')', '我', '看', '车', '底下', '有', '有', '有', '有', '有', '有']","['IO', 'IN', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['导航', '到', '苹果', '张', '南', '高速', '路口']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
['确定'],['X']
['成都'],['IA']
"['天', '龙池']","['IA', 'IA']"
"['导航', '到', '(', 'unknown', ')']","['IO', 'X', 'X', 'X', 'X']"
"['导航', '到', '火车', '北站', '售票厅']","['IO', 'X', 'IG', 'IG', 'IG']"
"['去', '黄河', '骨科', '医院']","['X', 'IG', 'IG', 'IG']"
"['我', '要', '导航', '到', '台州', '路桥']","['X', 'X', 'IO', 'X', 'IG', 'IG']"
"['格兰', '(', 'unknown', ')', '国际', '大酒店']","['IA', 'X', 'X', 'X', 'IA', 'IA']"
"['导航', '去', '冕', '宁县']","['IO', 'X', 'IG', 'IG']"
"['去', '渝中区', '妇幼保健', '医院']","['X', 'IG', 'IG', 'IG']"
"['山东', '中路', '仁济医院']","['IA', 'IA', 'IA']"
['确定'],['X']
"['(', 'side', ')']","['X', 'X', 'X']"
"['关闭', '导航']","['IO', 'IN']"
"['我', '要', '去', '航', '洋', '国际']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['綦江', '区', '滨江路', '童心', '幼儿园']","['IA', 'IA', 'IA', 'IA', 'IA']"
"['去', '哪', '一个']","['X', 'X', 'X']"
['取消'],['IO']
"['导航', '去', '阳新县', '王英', '镇']","['IO', 'X', 'IG', 'IG', 'IG']"
"['去', '海', '得', '汽配城']","['X', 'IG', 'IG', 'IG']"
"['导航', '到', '青岛', '胶州市']","['IO', 'X', 'IG', 'IG']"
"['导航', '到', '邵阳市', '红旗', '路']","['IO', 'X', 'IG', 'IG', 'IG']"
"['(', 'unknown', ')', '确定']","['X', 'X', 'X', 'X']"
"['(', 'side', ')', '过去', '就', '行', '了', '呀']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['我', '要', '去', '皖', '西北', '商贸城']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['去', '珥', '季', '路', '地铁站']","['X', 'IG', 'IG', 'IG', 'IG']"
"['紫金', '村']","['IA', 'IA']"
"['(', 'side', ')', '(', 'dialect', ')']","['X', 'X', 'X', 'X', 'X', 'X']"
"['(', 'robot', ')', '微信', '可以', '交', '电费', '啦', '只要', '打开', '微信', '点击', '我', '的', '钱包', '点击', '生活', '缴费', '选择', '电费', '输入', '用户', '编号', '输入', '缴费', '金额', '就', '可以', '轻松', '交', '电费', '啦', '(', 'unknown', ')', '，', '第二个']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['呼叫', '神州']","['X', 'X']"
['第一个'],['IP']
"['我', '要', '去', '宝石', '花', '酒店']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['这个', '地点']","['X', 'X']"
"['去', '延', '津', '县', '平安', '大道', '西头']","['X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['退出', '导航']","['IO', 'IN']"
"['导航', '到', '巴中', '第八', '中学']","['IO', 'X', 'IG', 'IG', 'IG']"
"['(', 'side', ')', '(', 'dialect', ')']","['X', 'X', 'X', 'X', 'X', 'X']"
"['我', '到', '昌吉', '亚中', '商城', '怎么', '去']","['X', 'X', 'IG', 'IG', 'IG', 'X', 'X']"
"['导航', '到']","['IO', 'X']"
"['维也纳', '酒店']","['IA', 'IA']"
"['一个', '第一个']","['IP', 'IP']"
"['导航', '去', '青', '呃', '青海省', '西宁市']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
['再见'],['X']
"['导航', '到', '南市', '小区', '二十一', '栋']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '崇文', '名', '都']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
['南三环'],['IA']
"['请', '关闭', '导航']","['X', 'IO', 'IN']"
"['关闭', '收音机']","['X', 'X']"
"['巩留', '县']","['IA', 'IA']"
"['你', '好', '小乐']","['X', 'X', 'X']"
"['我', '在', '哪里']","['X', 'X', 'X']"
"['我', '要', '去', '乌鲁木齐']","['X', 'X', 'X', 'IG']"
"['导航', '到', '共', '青城', '财经', '大学']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['到', '百', '草坪', '给', '我', '导航', '百', '草坪']","['X', 'IG', 'IG', 'X', 'X', 'IO', 'IG', 'IG']"
"['(', 'side', ')', '，', '轻工', '南路', '九号', '(', 'side', ')']","['X', 'X', 'X', 'X', 'IA', 'IA', 'IA', 'X', 'X', 'X']"
"['导航', '到', '岳阳', '岳阳市']","['IO', 'X', 'IG', 'IG']"
"['(', 'side', ')']","['X', 'X', 'X']"
"['我', '要', '去', '小山']","['X', 'X', 'X', 'IG']"
"['(', 'noise', ')']","['X', 'X', 'X']"
"['广州', '花园酒店']","['IA', 'IA']"
"['我', '导航', '到', '山东鄄城县']","['X', 'IO', 'X', 'IG']"
['干'],['X']
"['取消', '导航']","['IO', 'IN']"
"['第一个', '库车', '县', '公务员', '小区']","['IP', 'IA', 'IA', 'IA', 'IA']"
['第一个'],['IP']
"['航', '去', '花莲', '路', '一号']","['X', 'X', 'IG', 'IG', 'IG']"
['确定'],['X']
"['关闭', '导航']","['IO', 'IN']"
"['最快', '的']","['X', 'X']"
"['关闭', '导航', '(', 'robot', ')', '父母', '看完', '了', '(', 'unknown', ')', '差不多', '了', '(', 'unknown', ')', '下一步', '就是', '家里', '家里', '那位', '家里', '老公', '了', '呀', '嗯', '哦', '那', '这个', '断', '的', '还', '真的', '有点儿', '彻底', '哦', '就是', '咱们', '长大', '了', '(', 'unknown', ')', '就', '想', '啊', '(', 'unknown', ')']","['IO', 'IN', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
['导航'],['IO']
"['去', '驻马店']","['X', 'IG']"
"['导航', '到', '最近', '的', '宠物', '医院']","['IO', 'X', 'IK', 'X', 'II', 'II']"
"['(', 'unknown', ')', '导航', '吗']","['X', 'X', 'X', 'IO', 'X']"
"['(', 'side', ')']","['X', 'X', 'X']"
"['我', '现在', '在', '哪里']","['X', 'X', 'X', 'X']"
"['你', '别', '说话']","['X', 'X', 'X']"
"['附近', '的', '酒店']","['IK', 'X', 'IA']"
['一'],['IP']
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['现在', '是', '什么', '位置']","['X', 'X', 'X', 'X']"
"['石', '富', '楼', '街']","['IA', 'IA', 'IA', 'IA']"
"['我', '要', '去', '华', '耐', '家居']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['(', 'unknown', ')', '一个']","['X', 'X', 'X', 'X']"
"['导航', '到', '海亮', '广场']","['IO', 'X', 'IG', 'IG']"
"['(', 'unknown', ')', '东郊', '殡仪馆']","['X', 'X', 'X', 'IA', 'IA']"
"['去', '三', '沟', '总站']","['X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '大毕庄', '五金城']","['X', 'X', 'X', 'IG', 'IG']"
"['我', '要', '到', '青岛', '城阳', '后', '田村']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['取消', '导航', '笨蛋']","['IO', 'IN', 'X']"
"['苏州', '中医院', '导航']","['IG', 'IG', 'IO']"
"['到', '滨湖', '国家', '森林公园']","['X', 'IG', 'IG', 'IG']"
['导航'],['IO']
"['导航', '到', '上海市', '奉贤', '区', '太', '日', '镇']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['我', '导航', '到', '普罗旺斯']","['X', 'IO', 'X', 'IG']"
"['我', '要', '去', '张江', '机场']","['X', 'X', 'X', 'IG', 'IG']"
"['导航', '到', '万盛', '区']","['IO', 'X', 'IG', 'IG']"
"['(', 'side', ')', '，', '确定']","['X', 'X', 'X', 'X', 'X']"
"['去', '广州', '协', '佳', '医院']","['X', 'IG', 'IG', 'IG', 'IG']"
"['去', '铜仁', '市']","['X', 'IG', 'IG']"
['第一个'],['IP']
"['你', '直接', '到', '湖南', '长沙', '湖南', '长', '导航', '到', '湖南', '长沙']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IO', 'X', 'IG', 'IG']"
['导航'],['IO']
"['(', 'unknown', ')', '马路', '与', '南宁', '北街', '交叉口', '对不对']","['X', 'X', 'X', 'IA', 'IA', 'IA', 'IA', 'IA', 'X']"
['退出'],['IO']
"['导航', '去', '德天', '瀑布']","['IO', 'X', 'IG', 'IG']"
"['导航', '去', '定安县']","['IO', 'X', 'IG']"
"['(', 'side', ')']","['X', 'X', 'X']"
['第二个'],['IP']
['确定'],['X']
"['华夏', '爱', '嘉', '丽都', '导航']","['IG', 'IG', 'IG', 'IG', 'IO']"
['青龙山'],['IA']
"['去', '翰', '沃', '建材城']","['X', 'IG', 'IG', 'IG']"
"['导航', '到', '戴', '南', '汽车站']","['IO', 'X', 'IG', 'IG', 'IG']"
"['去', '玉', '都', '饭店']","['X', 'IG', 'IG', 'IG']"
"['我', '要', '到', '平', '天山']","['X', 'X', 'X', 'IG', 'IG']"
"['导航', '到', '长亭', '路']","['IO', 'X', 'IG', 'IG']"
"['导航', '去', '泰安', '道', '三号', '院']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
['回家'],['X']
"['城', '开', '请', '帮', '我', '导航', '到', '城', '开', '景', '祥', '佳', '园']","['IG', 'IG', 'X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['到', '瑞丽']","['X', 'IG']"
"['导航', '去', '温江', '二', '中']","['IO', 'X', 'IG', 'IG', 'IG']"
"['关闭', '导航']","['IO', 'IN']"
"['我', '要', '到', '假日', '湾', '小区']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['去', '振', '业']","['X', 'IG', 'IG']"
"['关闭', '导航']","['IO', 'IN']"
"['到', '宏', '村市', '(', 'unknown', ')']","['X', 'IG', 'IG', 'X', 'X', 'X']"
"['去', '羊', '卓', '雍', '错']","['X', 'IG', 'IG', 'IG', 'IG']"
"['(', 'robot', ')', '阳澄湖', '大闸蟹', '安丰', '专卖店', '从', '(', 'unknown', ')', '到', '豪', '泰', '新村', '大闸蟹', '，', '我', '要', '去', '南湖', '市政府']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'IG', 'IG']"
"['文', '直路']","['IA', 'IA']"
['第一个'],['IP']
"['那个', '堵车', '路况']","['X', 'X', 'X']"
"['我', '想', '去', '麦', '乐', '兜', '汉堡']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['最近', '的', '一个']","['IK', 'X', 'X']"
"['我', '导航', '到', '内蒙古', '海拉尔市']","['X', 'IO', 'X', 'IG', 'IG']"
['第一个'],['IP']
"['我', '要', '导航', '到', '国家', '电网']","['X', 'X', 'IO', 'X', 'IG', 'IG']"
"['去掉', '导航', '错', '了']","['X', 'DN', 'X', 'X']"
"['导航', '到', '湖北省', '荆州市', '荆州', '区', '安家', '岔']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['到', '宝鸡市']","['X', 'IG']"
"['(', 'unknown', ')', '公司', '水处理厂']","['X', 'X', 'X', 'IA', 'IA']"
"['我', '要', '去', '银', '龙', '花园']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['导航', '去', '中', '七', '里']","['IO', 'X', 'IG', 'IG', 'IG']"
"['去', '振华', '玻璃厂']","['X', 'IG', 'IG']"
"['导航', '到', '沃尔玛']","['IO', 'X', 'IG']"
"['返回', '上', '一', '页']","['IO', 'IQ', 'IQ', 'IQ']"
"['日', '馨', '宾馆']","['IA', 'IA', 'IA']"
"['(', 'side', ')', '发', '德', '发', '德', '邦', '啊', '我', '知道', '啊', '发', '德', '邦', '那', '不', '那个', '说', '的', '那个', '物流', '不', '给', '发', '吗']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['衡水市', '滏', '阳', '中学']","['IA', 'IA', 'IA', 'IA']"
"['导航', '大', '花园', '富宁', '新', '都', '六楼']","['IO', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['去', '罗', '龙', '商贸城']","['X', 'IG', 'IG', 'IG']"
"['帮', '我', '导航', '到', '兴城', '路']","['X', 'X', 'IO', 'X', 'IG', 'IG']"
"['导航', '到', '奇', '台', '县', '(', 'side', ')', '(', 'unknown', ')', '三百五十', '一', '公里']","['IO', 'X', 'IG', 'IG', 'IG', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
['第二个'],['IP']
"['给', '我', '导航', '导', '到', '箬', '横', '镇政府']","['X', 'X', 'IO', 'IO', 'X', 'IG', 'IG', 'IG']"
"['不用', '导航']","['X', 'IO']"
"['去', '西大街', '北', '下街']","['X', 'IG', 'IG', 'IG']"
"['到', '晋城']","['X', 'IG']"
"['去', '岚山', '区', '检察院']","['X', 'IG', 'IG', 'IG']"
"['取消', '导航', '取消', '导航']","['IO', 'IN', 'IO', 'IN']"
"['哪儿', '都', '不', '去', '了']","['X', 'X', 'X', 'X', 'X']"
"['重庆市', '第二', '师范学院']","['IA', 'IA', 'IA']"
"['导航', '去', '青岛', '啤酒', '博物馆']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '回', '景洪']","['IO', 'X', 'IG']"
"['去', '淳化', '县']","['X', 'IG', 'IG']"
"['第一个', '(', 'side', ')', '终于', '对', '啦', '(', 'unknown', ')']","['IP', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['我', '要', '去', '盘锦市']","['X', 'X', 'X', 'IG']"
"['一个', '鄂尔多斯']","['IA', 'IA']"
"['北京', '农', '效', '禽业', '公司']","['IA', 'IA', 'IA', 'IA', 'IA']"
"['帮', '我', '导', '一下', '到', '镇江', '大港', '御河', '路']","['X', 'X', 'IO', 'X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['啊', '许昌市', '梨园', '转盘']","['X', 'IA', 'IA', 'IA']"
"['去', '学府', '大道']","['X', 'IG', 'IG']"
"['我', '要', '去', '浙江', '力夫']","['X', 'X', 'X', 'IG', 'IG']"
"['临夏', '市']","['IA', 'IA']"
"['我', '要', '去', '七贤', '岭', '管理区']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['到', '彩电', '中心']","['X', 'IG', 'IG']"
"['(', 'side', ')', '你', '自己', '说']","['X', 'X', 'X', 'X', 'X', 'X']"
"['去', '锦州', '南站', '显示', '全程', '路线']","['X', 'IG', 'IG', 'IO', 'IN', 'IN']"
"['西乡', '流', '塘']","['IA', 'IA', 'IA']"
"['打开', '导航']","['IO', 'IN']"
"['我', '要', '到', '广西北海', '海边']","['X', 'X', 'X', 'IG', 'IG']"
"['导航', '回家']","['IO', 'X']"
"['我', '要', '去', '韶山市']","['X', 'X', 'X', 'IG']"
['第一个'],['IP']
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['关闭', '导航', '导航', '结束']","['IO', 'IN', 'IN', 'IO']"
"['帮', '你', '给', '我', '导', '一下', '帮', '我', '给', '我', '导', '一下', '河北省', '黄骅市', '市政府']","['X', 'X', 'X', 'X', 'IO', 'X', 'X', 'X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '大朗', '高', '英', '广场']","['IO', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '万', '(', 'unknown', ')', '达', '酒店']","['X', 'X', 'X', 'IG', 'X', 'X', 'X', 'IG', 'IG']"
"['导航', '回家']","['IO', 'X']"
"['导航', '到', '市区', '自贡', '市区']","['IO', 'X', 'IG', 'IG', 'IG']"
"['退出', '导航']","['IO', 'IN']"
['确定'],['X']
"['我', '去', '惠济区', '裕华', '广场', '小区']","['X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['关闭', '导航', '(', 'robot', ')', '二零一', '五年', '十二月', '入列', '的', '东平湖', '舰', '是', '我国', '自行', '设计', '建造', '的', '新']","['IO', 'IN', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['(', 'unknown', ')', '导航', '去', '嘉', '祥', '镇', '五', '中心']","['X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['铜梁', '区政府']","['IA', 'IA']"
['江尾村'],['IA']
"['烟厂', '南门']","['IA', 'IA']"
['导航'],['IO']
['大冶市'],['IA']
"['去', '环球', '幺', '八八', '酒店', '公寓']","['X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '葫芦岛']","['IO', 'X', 'IG']"
"['(', 'robot', ')', '(', 'unknown', ')', '而且', '呢', '你', '还', '在', '微信', '上', '主动', '摇', '人', '你', '想', '给', '我', '什么样', '的', '好', '印']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['大学城', '西区']","['IA', 'IA']"
"['导航', '到', '最近', '的', '(', 'unknown', ')', '粥', '馆']","['IO', 'X', 'IK', 'X', 'X', 'X', 'X', 'IC', 'IC']"
['第一个'],['IP']
"['到', '保定', '名人', '国际']","['X', 'IG', 'IG', 'IG']"
"['我', '导', '到', '偃师市', '漷', '县', '镇']","['X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['帮', '我', '找', '呃', '导航', '到', '昆明', '市民', '都', '酒店']","['X', 'X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '五', '马', '镇']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '迁安']","['IO', 'X', 'IG']"
"['导航', '到', '包尔汉', '佛塔']","['IO', 'X', 'IG', 'IG']"
"['导航', '到', '玉桥', '商业', '广场']","['IO', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '富', '锦', '市', '妇幼保健', '医院']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['去', 'k', '歌']","['X', 'IG', 'IG']"
"['去', '城南', '枢纽']","['X', 'IG', 'IG']"
"['去', '红光', '山', '大佛']","['X', 'IG', 'IG', 'IG']"
"['去', '黄家庄']","['X', 'IG']"
"['第一个', '第一个']","['IP', 'IP']"
"['我', '要', '去', '街道', '口', '银泰', '创意', '城']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['去', '梅', '河口', '走', '二', '零二', '国', '路']","['X', 'IG', 'IG', 'X', 'IJ', 'IJ', 'IJ', 'IJ']"
['南京'],['IA']
"['我', '要', '去', '长庆', '桥']","['X', 'X', 'X', 'IG', 'IG']"
"['小店区', '恒大', '绿洲']","['IA', 'IA', 'IA']"
"['给', '我', '导航', '到', '福鼎', '收费站']","['X', 'X', 'IO', 'X', 'IG', 'IG']"
['个旧'],['IA']
"['我', '要', '去', '南京', '南站']","['X', 'X', 'X', 'IG', 'IG']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['(', 'robot', ')', '右前方', '请走', '机动车', '车道', '，', '导航', '到', '翡翠', '东郡', '(', 'robot', ')', '前方', '两']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'IO', 'X', 'IG', 'IG', 'X', 'X', 'X', 'X', 'X']"
['导航'],['IO']
"['(', 'unknown', ')', '近', '的']","['X', 'X', 'X', 'IK', 'X']"
"['导航', '出']","['IO', 'X']"
"['(', 'side', ')', '(', 'dialect', ')']","['X', 'X', 'X', 'X', 'X', 'X']"
"['导航', '到', '西安', '路', '维护', '中心']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '邮政']","['X', 'X', 'X', 'IG']"
"['昆明市', '小', '板桥']","['IA', 'IA', 'IA']"
"['导航', '到', '云', '投', '集团']","['IO', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '兰州']","['X', 'X', 'X', 'IG']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['二', '个']","['X', 'X']"
"['我', '要', '去', '那个', '南通', '崇川区', '天安', '花园', '四十九', '幢']","['X', 'X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
['第一个'],['IP']
"['导航', '到', '苍山县', '向', '城镇', '石龙', '山村']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '启东', '环球', '博', '成', '酒店']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['兰陵', '县', '卞庄', '镇']","['IA', 'IA', 'IA', 'IA']"
"['我', '要', '去', '太原', '火车', '南站']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '寻', '乌', '县', '国税局']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '铁岭市']","['IO', 'X', 'IG']"
"['导航', '去', '淮北市', '中', '楼', '乡']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
['第一个'],['IP']
"['我', '要', '去', '准格尔', '旗', '薛', '家', '湾']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
['第四个'],['IP']
"['我', '要', '去', '力', '之', '星']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['福建', '浦', '城', '贵', '都', '大酒店']","['IA', 'IA', 'IA', 'IA', 'IA', 'IA']"
"['放大', '地图']","['IO', 'IN']"
"['湖', '西路']","['IA', 'IA']"
['第一个'],['IP']
"['到', '南', '寨', '派出所']","['X', 'IG', 'IG', 'IG']"
['回家'],['X']
"['(', 'side', ')']","['X', 'X', 'X']"
"['余杭', '区', '崇', '贤', '镇']","['IA', 'IA', 'IA', 'IA', 'IA']"
['第一个'],['IP']
"['导航', '到', '昌平', '西环', '南路']","['IO', 'X', 'IG', 'IG', 'IG']"
"['开始', '导航']","['IO', 'IO']"
"['我', '要', '去', '花园', '药业']","['X', 'X', 'X', 'IG', 'IG']"
"['购物', '广场']","['IA', 'IA']"
"['导航', '到', '包', '埠村', '收费站']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '新化县']","['IO', 'X', 'IG']"
"['我', '要', '去', '东港', '物流', '沁阳', '市', '中港', '物流']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['敖汉', '怎么', '走']","['IG', 'X', 'X']"
"['导航', '回', '祥云', '区', '祥云']","['IO', 'X', 'IG', 'IG', 'IG']"
"['文武', '山庄']","['IA', 'IA']"
"['导航', '结束', '好不好']","['IN', 'IO', 'X']"
"['导航', '到', '鄂州']","['IO', 'X', 'IG']"
"['导航', '到', '北一路', '万达']","['IO', 'X', 'IG', 'IG']"
"['我', '要', '去', '鹰潭市', '火车站']","['X', 'X', 'X', 'IG', 'IG']"
"['我', '要', '去', '高坪', '镇']","['X', 'X', 'X', 'IG', 'IG']"
"['导航', '到', '桐庐县', '分', '水', '镇']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['帮', '我', '找', '一下', '恒德', '宝']","['X', 'X', 'IO', 'X', 'IA', 'IA']"
"['闭', '导航']","['IO', 'IN']"
"['去', '瑞丽', '姐', '岗', '路']","['X', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '大', '金山', '漂流']","['IO', 'X', 'IG', 'IG', 'IG']"
"['我', '要', '去', '惠州市', '博罗县', '园', '洲', '镇', '金港', '大酒店']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['请', '导航']","['X', 'IO']"
"['导航', '鑫', '源', '福瑞', '特']","['IO', 'IG', 'IG', 'IG', 'IG']"
"['查找', '常德市', '第一', '人民医院']","['IO', 'IA', 'IA', 'IA']"
['确定'],['X']
"['到', '青浦', '徐', '泾']","['X', 'IG', 'IG', 'IG']"
"['关掉', '导航']","['IO', 'IN']"
"['泉州', '南', '环路']","['IA', 'IA', 'IA']"
"['去', '火车站']","['X', 'IG']"
['一个'],['X']
['第一个'],['IP']
['第一个'],['IP']
"['我', '要', '去', '(', 'unknown', ')', '随州市', '双', '河', '镇']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['导航', '至', '好', '医生', '药房']","['IO', 'X', 'IG', 'IG', 'IG']"
"['(', 'side', ')', '我', '相对来说', '我', '时不时', '我', '要', '隔', '个', '两三天', '我', '就要', '想', '吃', '一', '碗面']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
['第一个'],['IP']
"['前面', '路况', '怎么样']","['X', 'X', 'X']"
"['(', 'side', ')', '(', 'dialect', ')']","['X', 'X', 'X', 'X', 'X', 'X']"
['扬州'],['IA']
"['徐', '庄', '小区']","['IA', 'IA', 'IA']"
